,AAPL,GOOG,IBM,MSFT
2010-08-12 16:00:00,-1.12173519264,0.228542021501,-0.209128342898,-2.15691916923
2010-08-13 16:00:00,-1.61166784282,-0.399341652286,-0.446837892017,-2.09163402778
2010-08-16 16:00:00,-1.99952561784,-0.669675806846,-0.457301316811,-1.7123142385
2010-08-17 16:00:00,-1.13773049688,-0.164724993516,-0.187114477999,-1.04091532458
2010-08-18 16:00:00,-0.896762662687,-1.23258686238,0.230958014612,-0.846263900195
2010-08-19 16:00:00,-1.36484239914,-2.42006997362,-0.155013197486,-1.30396673529
2010-08-20 16:00:00,-1.2635966411,-2.39128524218,-1.08453294287,-1.44368865781
2010-08-23 16:00:00,-1.6934877917,-1.88911610744,-1.63923607077,-1.23148178611
2010-08-24 16:00:00,-2.2223103627,-2.28588709237,-2.20003519448,-1.4270761248
2010-08-25 16:00:00,-1.5652192487,-1.79528649501,-1.76906895435,-1.20601537501
2010-08-26 16:00:00,-1.6804587679,-1.74166297964,-2.42431314001,-1.45618236385
2010-08-27 16:00:00,-1.33929981715,-1.19953838177,-1.45017653118,-1.16833449603
2010-08-30 16:00:00,-1.1144338691,-1.35187094752,-1.71193527381,-1.50726373801
2010-08-31 16:00:00,-0.944530021659,-1.3243971652,-1.58435206553,-1.67296311286
2010-09-01 16:00:00,0.0999407002573,-0.758140079204,-0.602014595986,-0.894273163335
2010-09-02 16:00:00,0.469880305808,-0.544503917092,-0.773085889698,-0.740260830685
2010-09-03 16:00:00,1.53692122109,-0.103540870247,0.198944151966,0.00995406119629
2010-09-07 16:00:00,1.50400508818,-0.346685858999,-0.328119137768,-0.656425102196
2010-09-08 16:00:00,2.19964975955,0.143652212375,-0.180847433139,-0.639518337954
2010-09-09 16:00:00,1.89919732296,0.620620172328,0.0387834596226,-0.356004792809
2010-09-10 16:00:00,1.71017882146,0.733167456604,0.899405510776,-0.754586565346
2010-09-13 16:00:00,1.85998507145,1.26703458034,1.60578724602,2.42027177458
2010-09-14 16:00:00,1.71018975901,1.17345049628,1.17177212034,1.91555621345
2010-09-15 16:00:00,1.69216574093,1.3306708583,1.38539704944,1.9336343194
2010-09-16 16:00:00,1.95729370506,1.38394196674,1.47541346635,2.1126764517
2010-09-17 16:00:00,1.61550364648,1.89325055978,1.61910826662,1.67867914782
2010-09-20 16:00:00,1.90707055254,2.55730265471,1.98192950752,1.76682059579
2010-09-21 16:00:00,1.69151849975,2.30521834096,1.77332873816,1.19465539848
2010-09-22 16:00:00,1.73015700069,2.05743739873,1.71710622849,0.330748049604
2010-09-23 16:00:00,1.60177673313,1.68641174333,1.26945496587,0.0308992433094
2010-09-24 16:00:00,1.63214786381,1.99985867442,1.82436049206,0.501826825501
2010-09-27 16:00:00,1.42221830794,1.83750661932,1.73787897226,0.378507410536
2010-09-28 16:00:00,1.0605760646,1.52673924363,1.63237155388,0.223067609869
2010-09-29 16:00:00,1.02515377493,1.41222258525,1.65937121664,-0.181883921095
2010-09-30 16:00:00,0.686260056429,1.2125519768,1.1409492723,-0.268500664356
2010-10-01 16:00:00,0.514657189311,1.09835198918,1.46127327534,-0.559622069735
2010-10-04 16:00:00,0.101872397687,0.870995366496,1.2068762298,-1.40171199037
2010-10-05 16:00:00,0.978816282707,1.41726760196,1.74640095821,-0.623178536366
2010-10-06 16:00:00,0.920961544316,1.14508544655,1.64386138389,-0.530780285351
2010-10-07 16:00:00,0.853047062524,0.865175631887,1.75513323913,-0.382674433178
2010-10-08 16:00:00,1.33937337981,1.07316229028,1.62055085494,-0.438058827046
2010-10-11 16:00:00,1.41653138905,1.10033351644,1.65426723121,-0.325472953482
2010-10-12 16:00:00,1.74259198077,1.15553602428,1.55419677457,0.332054719748
2010-10-13 16:00:00,1.86386837669,1.2172555969,1.55142758463,1.57112245448
2010-10-14 16:00:00,1.93162271379,1.08876163721,1.71021096669,1.34567259285
2010-10-15 16:00:00,2.86837920492,3.61798608991,1.45183472831,1.95500551137
2010-10-18 16:00:00,2.518915349,3.04709743585,1.76632254841,2.35550031365
2010-10-19 16:00:00,1.4805110559,2.1877563913,0.253241953723,0.795318457463
2010-10-20 16:00:00,1.4018841835,1.87120292395,0.508596927593,1.14021464884
2010-10-21 16:00:00,1.17950041775,1.73382158181,0.703115669766,1.22394044271
2010-10-22 16:00:00,0.913346621991,1.53773168377,0.565198589836,1.04246156795
2010-10-25 16:00:00,0.937758559539,1.45594710851,0.56008889479,0.612236106972
2010-10-26 16:00:00,0.786122049286,1.34795886159,0.826016460609,1.74968208161
2010-10-27 16:00:00,0.689504346938,1.16613549972,1.064759259,1.74240731239
2010-10-28 16:00:00,0.393363087393,1.1019536556,0.772893719733,1.82909227319
2010-10-29 16:00:00,-0.0871237858969,0.889003188263,1.9914423895,2.05098945809
2010-11-01 16:00:00,0.123874933458,0.836966887578,1.79829208717,2.13546976682
2010-11-02 16:00:00,0.661390536529,0.768906302672,1.85253878643,2.2655804216
2010-11-03 16:00:00,1.02792867885,0.808420738165,1.80376319356,1.62672638495
2010-11-04 16:00:00,1.69997252519,0.846854332028,2.51862488626,1.56349296006
2010-11-05 16:00:00,1.42858538906,0.798977242282,2.14212350274,1.12650426547
2010-11-08 16:00:00,1.55231623519,0.791348123905,1.88663511407,0.987655187482
2010-11-09 16:00:00,1.05442656657,0.668539687565,1.55361854721,1.05837762876
2010-11-10 16:00:00,1.28594030391,0.547762359903,1.49866704896,0.94560135558
2010-11-11 16:00:00,0.951296952642,0.0670775438952,1.0188691939,0.548457205119
2010-11-12 16:00:00,-0.606239550969,-2.17191218588,0.413188911713,-0.0466551940541
2010-11-15 16:00:00,-0.710802510969,-2.58041540117,0.354277522526,-0.174986273481
2010-11-16 16:00:00,-1.57391980403,-2.92688705407,-0.202103960714,-0.597513710775
2010-11-17 16:00:00,-1.56170661246,-2.37127157433,-0.393973633248,-1.03159356101
2010-11-18 16:00:00,-0.222508590786,-1.21990675064,0.455726142499,-0.687528701548
2010-11-19 16:00:00,-0.499285335369,-1.47641558238,0.661298960729,-1.02552118409
2010-11-22 16:00:00,0.56586600325,-1.29779624277,0.74155774737,-1.1373318465
2010-11-23 16:00:00,-0.207362760318,-1.62119715045,-0.435773495528,-2.06925629355
2010-11-24 16:00:00,0.733080110396,-0.781485356294,0.879195171198,-1.49635075723
2010-11-26 16:00:00,0.690349061913,-0.99150455268,-0.353730727288,-1.51315700023
2010-11-29 16:00:00,0.91840017655,-1.32454991712,-1.01546618242,-1.28143757094
2010-11-30 16:00:00,-0.14800651716,-2.31027780328,-1.80421710012,-1.20963086592
